subjects,temporal
192237.L,NODE2166
205725.R,NODE2166
209329.R,NODE2166
173435.R,NODE2166
136631.R,NODE2166
192237.R,NODE2166
749058.R,NODE2166
198653.R,NODE2166
116726.R,NODE2166
157942.R,NODE2166
792867.R,NODE2166
257845.L,NODE2166
519647.R,NODE2166
130316.L,NODE2168
664757.L,NODE2168
159845.L,NODE2168
268749.L,NODE2168
193845.L,NODE2168
263436.L,NODE2168
445543.L,NODE2168
732243.L,NODE2168
783462.R,NODE2168
550439.L,NODE2168
168341.L,NODE2168
561949.L,NODE2168
317332.R,NODE2168
545345.R,NODE2168
611938.R,NODE2168
894774.R,NODE2168
176744.R,NODE2168
825553.R,NODE2168
351938.L,NODE2168
145127.L,NODE2168
285345.R,NODE2168
749361.R,NODE2168
211821.L,NODE2168
694362.R,NODE2168
109123.R,NODE2168
580044.R,NODE2168
675661.R,NODE2168
841349.R,NODE2168
114217.R,NODE2168
126325.R,NODE2168
579665.R,NODE2168
815247.L,NODE2168
626648.L,NODE2168
202113.R,NODE2168
245333.L,NODE2168
280941.L,NODE2168
116221.R,NODE2168
153227.L,NODE2168
298051.R,NODE2168
220721.L,NODE2168
101915.R,NODE2168
207123.L,NODE2168
309636.R,NODE2168
495255.R,NODE2168
129634.L,NODE2168
201818.L,NODE2168
127832.R,NODE2168
132118.R,NODE2168
206323.R,NODE2168
782157.R,NODE2168
122620.R,NODE2168
208428.R,NODE2168
139435.R,NODE2168
101107.R,NODE2168
162026.R,NODE2168
127226.R,NODE2168
456346.L,NODE2168
140117.R,NODE2168
592455.L,NODE2168
100307.R,NODE2168
118730.R,NODE2168
422632.L,NODE2168
114318.L,NODE2168
228434.L,NODE2168
178243.L,NODE2168
178243.R,NODE2168
135730.L,NODE2168
816653.R,NODE2168
176542.R,NODE2168
246133.R,NODE2168
158035.R,NODE2168
406836.R,NODE2168
937160.R,NODE2168
942658.R,NODE2168
153631.R,NODE2168
290136.R,NODE2168
115724.R,NODE2168
156031.R,NODE2168
102513.R,NODE2168
136126.R,NODE2168
753150.R,NODE2168
131924.R,NODE2168
193239.R,NODE2168
167743.R,NODE2168
175237.R,NODE2168
638049.R,NODE2168
165234.R,NODE2168
182032.R,NODE2168
870861.R,NODE2168
213522.R,NODE2168
517239.R,NODE2168
987983.L,NODE2168
205826.R,NODE2168
152831.R,NODE2168
970764.R,NODE2168
160123.R,NODE2168
702133.R,NODE2168
677968.R,NODE2168
818455.R,NODE2168
141826.L,NODE2168
904044.L,NODE2168
201717.L,NODE2168
201717.R,NODE2168
959574.R,NODE2168
142828.R,NODE2168
173536.R,NODE2168
114419.R,NODE2168
886674.R,NODE2168
105014.R,NODE2168
587664.R,NODE2168
131419.R,NODE2168
212116.R,NODE2168
102008.R,NODE2168
329844.R,NODE2168
156637.R,NODE2168
782561.R,NODE2168
149842.R,NODE2168
688569.R,NODE2168
200109.R,NODE2168
255740.R,NODE2168
158338.R,NODE2168
129028.R,NODE2168
133625.R,NODE2168
623844.R,NODE2168
169141.R,NODE2168
172433.R,NODE2168
146129.R,NODE2168
872158.R,NODE2168
127630.L,NODE2168
150726.R,NODE2168
115825.L,NODE2168
751550.L,NODE2168
111009.L,NODE2168
169747.L,NODE2168
887373.R,NODE2168
144428.R,NODE2168
171330.R,NODE2168
185139.R,NODE2168
792564.R,NODE2168
401422.R,NODE2168
810439.R,NODE2168
191437.L,NODE2168
275645.R,NODE2168
209935.R,NODE2168
221319.R,NODE2168
191235.R,NODE2168
151223.L,NODE2168
151223.R,NODE2168
172938.R,NODE2168
123117.R,NODE2168
715647.R,NODE2168
151021.L,NODE2168
393550.R,NODE2168
169343.R,NODE2168
177241.R,NODE2168
214019.L,NODE2168
436239.R,NODE2168
882161.L,NODE2168
882161.R,NODE2168
759869.R,NODE2168
198047.L,NODE2168
917255.R,NODE2168
217429.R,NODE2168
395958.R,NODE2168
300719.R,NODE2168
169444.R,NODE2168
901442.R,NODE2168
137128.R,NODE2168
181131.R,NODE2168
231928.R,NODE2168
462139.L,NODE2168
513130.R,NODE2168
134425.R,NODE2168
180129.R,NODE2168
412528.R,NODE2168
951457.R,NODE2168
481042.R,NODE2168
756055.R,NODE2168
168038.R,NODE2168
185341.R,NODE2168
386250.R,NODE2168
966975.L,NODE2168
550439.R,NODE2168
111009.R,NODE2168
912447.R,NODE2168
136227.L,NODE2168
136227.R,NODE2168
207123.R,NODE2168
984472.R,NODE2168
145531.R,NODE2168
196952.R,NODE2168
138534.R,NODE2168
239944.R,NODE2168
729254.R,NODE2168
101410.R,NODE2168
167440.R,NODE2168
208125.R,NODE2168
305830.R,NODE2168
151324.R,NODE2168
689470.R,NODE2168
119025.R,NODE2168
212217.R,NODE2168
208327.R,NODE2168
966975.R,NODE2168
461743.R,NODE2168
955465.R,NODE2168
461743.L,NODE2168
209531.R,NODE2168
103010.R,NODE2168
176542.L,NODE2168
445543.R,NODE2168
908860.L,NODE2169
687163.L,NODE2169
994273.L,NODE2169
927359.L,NODE2169
889579.L,NODE2169
933253.L,NODE2169
933253.R,NODE2169
814548.L,NODE2169
971160.L,NODE2169
589567.R,NODE2169
129432.L,NODE2169
149236.L,NODE2169
894067.L,NODE2169
992673.R,NODE2169
143426.L,NODE2169
190031.L,NODE2169
150928.R,NODE2169
529953.R,NODE2169
177746.L,NODE2169
120010.L,NODE2169
286347.L,NODE2169
178647.L,NODE2169
849971.L,NODE2169
116120.L,NODE2169
665254.L,NODE2169
665254.R,NODE2169
148133.L,NODE2169
771354.L,NODE2169
385046.L,NODE2169
186444.L,NODE2169
568963.R,NODE2169
189349.L,NODE2170
377451.L,NODE2170
156536.L,NODE2170
257946.L,NODE2170
346137.L,NODE2170
199655.L,NODE2170
178950.L,NODE2170
690152.L,NODE2170
695768.L,NODE2171
766563.L,NODE2171
742549.R,NODE2171
160931.R,NODE2171
